Title,Tags
"How would astronomical seeing on Mars differ from that on Earth?","<telescope><angular-resolution><atmospheric-effects>"
"Synodic period of planets","<positional-astronomy>"
"How far from the Sun can an Earth TCO (temporarily captured orbiter) go after leaving?","<orbit><natural-satellites><orbital-mechanics>"
"How does the geometry for constructing a declining vertical sundial work?","<the-sun><time>"
"Puzzling quotes from astronauts about earth size","<the-moon><observational-astronomy><moonlanding>"
"Why do stars become red giants?","<the-sun><red-giant><stellar-evolution>"
"Black dwarf binary systems","<supernova><binary-star><stellar-evolution>"
"Galactic Habitable Zone","<solar-system><exoplanet><planet><earth-like-planet><habitable-zone>"
"What are the differences between TESS and PLATO exoplanet telescopes?","<exoplanet><space-telescope>"
"Do the E and B modes of the CMB polarization have anything to do with electric and magnetic fields?","<cosmology><cmb>"
"Is there another explanation, apart from the doppler effect, for the redshift observed in distant galaxies?","<galaxy><big-bang-theory><radio-astronomy><astrophysics><redshift>"
"Max. speed that a space probe can communite with the Earth?","<exoplanet><space><extra-terrestrial>"
"local stellar mapping data","<star>"
"need data-point: actual counts per second with APD (avalanche photodiode) detector","<star><telescope><apparent-magnitude>"
"Why are most planetary orbits nearly circular","<orbit><solar-system>"
"What exactly does outer space contain?","<space>"
"What causes Earth's gravity?","<gravity>"
"Is there online data on asteroid axial tilts?","<orbit><rotation><asteroids>"
"Why does time get slow near a black hole?","<black-hole><space-time>"
"Why can primordial tensor perturbations of the CMB be ascribed to gravitational waves?","<cosmology><cmb><gravitational-waves>"
"What mechanism causes oscillations of the solar system's orbit about the galactic plane?","<orbit><earth><dark-matter><galactic-dynamics><near-earth-object>"
"Why don't we feel the speed of earth moving","<earth><gravity><speed>"
"What is the temperature of outerspace?","<space><temperature><weather>"
"Is there a fundamental difference between a small galaxy, and a large star cluster?","<galaxy><star-cluster><globular-clusters>"
"What is the probability that there is life on other planets?","<galaxy><life><mathematics>"
"which pulsar has the longest spin period so far?","<pulsar>"
"How many nested stable (1 Mio years) orbits are theoretically possible?","<star-systems><orbital-migration>"
"Any tip on maintaining a log of celestial objects?","<amateur-observing>"
