Title,Tags
"What factors related to the Eastern Crisis contributed to the outbreak of World War 1?","<20th-century><world-war-one>"
"What language(s) were spoken within the Holy Roman Empire?","<holy-roman-empire><language>"
"When did steel first appear?","<technology><weapons><resource>"
"What events led to the fall of the Zhou Dynasty during the Warring States period?","<china><political-history><ancient-china>"
"Who, if any, in JFK's inner circle argued against the plans for the Bay of Pigs invasion?","<20th-century><political-history><cuba><john-f-kennedy>"
"When did the Holy Roman Empire collapse?","<holy-roman-empire>"
"Is there any proof that Robin Hood existed?","<england><middle-ages><proof>"
"German Government branches during World War 2","<20th-century><world-war-two><nazi-germany><germany>"
"Why did Chamberlain act to appease Hitler leading up to the outbreak of World War 2?","<world-war-two><20th-century>"
"How many troops died on D-day?","<20th-century><world-war-two><dday>"
"What led to the first fight in the American Civil War?","<united-states><19th-century><american-civil-war>"
"Why didn't Imperial Japan attack the Soviet Union during World War 2?","<20th-century><world-war-two><japan><soviet-union>"
"Besides Magna Carta and general decentralization, what specifically led to democratization in England?","<europe><political-history><england><democracy><13th-century>"
"When did the Knights Templar dissolve and why?","<middle-ages><crusades><14th-century>"
"Nero and the Great Fire of Rome 64AD","<roman-empire><ancient-rome><1st-century>"
"Who gave King Richard I the title Coeur de Lion?","<middle-ages><england><crusades><12th-century><richard-i>"
"Where was the pre-war (ww2) border between Poland and Germany?","<20th-century><world-war-two><germany><poland><geography>"
"What particular watershed events led to the War of the Roses?","<england><civil-war><middle-ages><15th-century>"
"Who were the Huns and/or Xiongnu?","<europe><roman-empire>"
"Did President Kennedy really cut 100,000 government jobs during his presidency?","<united-states><20th-century><government><john-f-kennedy>"
"Why was the Western Front so static in World War I?","<20th-century><germany><military><world-war-one>"
"How did people travel to remote islands like Easter Island?","<naval><exploration>"
"Where are Genghis Khan's Mongols?","<china><13th-century>"
"Why was Africa colonized last of the continents in the Age of Discovery?","<colonization><exploration><age-of-discovery><africa>"
"Why did Hitler declare war on the USA?","<united-states><world-war-two><20th-century><nazi-germany><japan>"
"Why was the Irish War of Independence in 1918 successful when other revolts failed?","<20th-century><british-empire><ireland><republic-of-ireland>"
"Why did Hitler attack the Soviet Union when he was still busy fighting the United Kingdom?","<20th-century><world-war-two><germany><soviet-union><united-kingdom>"
"Australian towns / cities with Aboriginal names","<australia><aboriginals>"
"Language of Franks vs later French","<language><franks><latin-language>"
"What is considered to be the pivotal battle between Caesar and Pompey?","<roman-republic><caesar><1st-century>"
"What was the Mantineian form of government and what praise did it receive?","<ancient-greece><government>"
