id,question,tags
1,"How did serfdom develop in and then leave Russia ?
","description (manner), ele"
2,"What films featured the character Popeye Doyle ?
","entity (creative), ele"
3,"How can I find a list of celebrities ' real names ?
","description (manner),ele"
4,"What fowl grabs the spotlight after the Chinese Year of the Monkey ?
","entity (animal)"
5,"What is the full form of .com ?
","abbreviation (expression)"
6,"What contemptible scoundrel stole the cork from my lunch ?
","human (individual)"
7,"What team did baseball 's St. Louis Browns become ?
","human (group)"
8,"What is the oldest profession ?
","human (title)"
9,"What are liver enzymes ?
","description (definition)"
10,"Name the scar-faced bounty hunter of The Old West .
","human (individual)"
11,"When was Ozzy Osbourne born ?
","numeric (date)"
12,"Why do heavier objects travel downhill faster ?
","description (reason)"
13,"Who was The Pride of the Yankees ?
","human (individual)"
14,"Who killed Gandhi ?
","human (individual)"
15,"What is considered the costliest disaster the insurance industry has ever faced ?
","entity (event)"
16,"What sprawling U.S. state boasts the most airports ?
","location (state)"
17,"What did the only repealed amendment to the U.S. Constitution deal with ?
","description (description)"
18,"How many Jews were executed in concentration camps during WWII ?
","numeric (count)"
19,"What is `` Nine Inch Nails '' ?
","description (definition)"
20,"What is an annotated bibliography ?
","description (definition)"
21,"What is the date of Boxing Day ?
","numeric (date)"
22,"What articles of clothing are tokens in Monopoly ?
","entity (other)"
23,"Name 11 famous martyrs .
","human (individual)"
24,"What 's the Olympic motto ?
","description (description)"
25,"What is the origin of the name ` Scarlett ' ?
","description (description)"
26,"What 's the second-most-used vowel in English ?
","entity (letter)"
27,"Who was the inventor of silly putty ?
","human (individual)"
28,"What is the highest waterfall in the United States ?
","location (other)"
29,"Name a golf course in Myrtle Beach .
","entity (other)"
30,"Which two states enclose Chesapeake Bay ?
","location (state)"
31,"What does the abbreviation AIDS stand for ?
","abbreviation (expression)"
32,"What does a spermologer collect ?
","entity (other)"
33,"How many points make up a perfect fivepin bowling score ?
","numeric (count)"
34,"Which company that manufactures video-game hardware sells the `` super system '' ?
","human (group)"
35,"How many Community Chest cards are there in Monopoly ?
","numeric (count)"
36,"What do Mormons believe ?
","description (description)"
37,"When did the neanderthal man live ?
","numeric (date)"
38,"In what religion was Isis the nature goddess ?
","entity (religion)"
39,"Where do the adventures of `` The Swiss Family Robinson '' take place ?
","location (other)"
40,"What relative of the racoon is sometimes known as the cat-bear ?
","entity (animal)"
41,"How can I register my website in Yahoo for free ?
","description (manner)"
42,"What was cash-conscious Colonel Edwin L. Drake the first to drill ?
","entity (other)"
43,"How many people in the world speak French ?
","numeric (count)"
44,"How many inches over six feet is the Venus de Milo ?
","numeric (count)"
45,"How do they find or choose witnesses to an execution ?
","description (manner)"
46,"What 1920s cowboy star rode Tony the Wonder Horse ?
","human (individual)"
47,"What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?
","entity (food)"
48,"What ISPs exist in the Caribbean ?
","human (group)"
49,"How do you ask a total stranger out on a date ?
","description (manner)"
50,"What weapon is the mythological character Apollo most proficient with ?
","entity (other)"
51,"What country do the Galapagos Islands belong to ?
","location (country)"
52,"What is ethology ?
","description (definition)"
53,"Who was the prophet of the Muslim people ?
","human (individual)"
54,"Where did the term `` 86ed '' come from ?
","description (description)"
55,"Who is Snoopy 's arch-enemy ?
","human (individual)"
56,"What is the nature of learning ?
","description (definition)"
57,"What 's the only color Johnny Cash wears on stage ?
","entity (color)"
58,"What 's the term for a young fox ?
","entity (term)"
59,"What U.S. state lived under six flags ?
","location (state)"
60,"What is the Kashmir issue ?
","description (definition)"
61,"Where is the Loop ?
","location (other)"
62,"What does `` extended definition '' mean and how would one write a paper on it ?
","description (definition)"
63,"What country 's capital is Tirana ?
","location (country)"
64,"What is titanium ?
","description (definition)"
65,"Who do Herb and Tootsie live next door to ?
","human (individual)"
66,"Which city has the oldest relationship as a sister?city with Los Angeles ?
","location (city)"
67,"What is a caldera ?
","description (definition)"
68,"Why do people get calluses ?
","description (reason)"
69,"What are the names of the tourist attractions in Reims ?
","location (other)"
70,"What are Cushman and Wakefield known for ?
","description (reason)"
71,"What body of water does the Danube River flow into ?
","location (other)"
72,"Who is the founder of Scientology ?
","human (individual)"
73,"What does the six-footed Musca domestica become when it enters a house ?
","entity (other)"
74,"What is the history of skateboarding ?
","description (description)"
75,"Who starred in Singing in the Rain and The Singing Nun ?
","human (individual)"
76,"How do I make fuel bricks from recycled newspaper ?
","description (manner)"
77,"What 19th-century painter died in the Marquesas Islands ?
","human (individual)"
78,"The corpus callosum is in what part of the body ?
","entity (body)"
79,"How do I log on to home page at Headquarters U.S. European Command ?
","description (manner)"
80,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .
","location (country)"
81,"What is Nebraska 's most valuable resource ?
","entity (other)"
82,"How many species of the Great White shark are there ?
","numeric (count)"
83,"What is the origin of head lice ?
","description (description)"
84,"What is the nickname for the state of Mississippi ?
","location (state)"
85,"What was the first domesticated bird ?
","entity (animal)"
86,"How many villi are found in the small intestine ?
","numeric (count)"
87,"What country did King Wenceslas rule ?
","location (country)"
88,"What is a fear of shadows ?
","entity (medicine)"
89,"Who were the five Marx brothers ?
","human (individual)"
90,"In which year was New Zealand excluded from the ANZUS alliance ?
","numeric (date)"
91,"When did CNN begin broadcasting ?
","numeric (date)"
92,"What causes the body to shiver in cold temperatures ?
","description (reason)"
93,"What are bear and bull markets ?
","description (definition)"
94,"What J.R.R. Tolkien book features Bilbo Baggins as the central character ?
","entity (creative)"
95,"What is `` dew point '' ?
","description (definition)"
96,"What is the meaning of Jesus ?
","description (definition)"
97,"What company 's logo is a `` W '' in a circle ?
","human (group)"
98,"What is the definition of a cascade ?
","description (definition)"
99,"When did Rococo painting and architecture flourish ?
","numeric (date)"
100,"What country 's national passenger rail system is called Via ?
","location (country)"
101,"Who invented Make-up ?
","human (individual)"
102,"What is the origin of the word `` attic '' ?
","description (description)"
103,"What did Delilah do to Samson 's hair ?
","description (description)"
104,"What kind of animals were in the Paleozoic era ?
","entity (animal)"
105,"Which of the following was Rhodes Scholar ?
","human (individual)"
106,"Who comprised the now-defunct comic book team known as the Champions ?
","human (individual)"
107,"How do you make a paintball ?
","description (manner)"
108,"What U.S. state is Fort Knox in ?
","location (state)"
109,"What is a female rabbit called ?
","entity (animal)"
110,"Where is the highest point in Japan ?
","location (mountain)"
111,"Where do chihuahuas come from ?
","description (description)"
